,time,P_net,P_pv,P_ev,T_indoor
39,35100.0,-0.0025076116092289068,0.0027894546287999997,0.0,15.919737390577518
40,36000.0,-0.0027194025059762593,0.0029095338106875,0.0,16.107485976052306
41,36900.0,-0.0021478899236875,0.0030178899236875,0.0,16.383745067225135
42,37800.0,-0.0022437364132875,0.0031137364132875,0.0,16.665754794344807
43,38700.0,-0.0025473806564875,0.0031973806564875,0.0,16.925926528329597
44,39600.0,-0.0026183639609875,0.0032683639609875,0.0,17.18720906085877
45,40500.0,-0.0024565637187499993,0.003326563718749999,0.0,17.471544398957043
46,41400.0,-0.0025025531665874997,0.0033725531665875,0.0,17.750476046678916
47,42300.0,-0.0032553899908875,0.0034053899908875,0.0,17.940358478669477
48,43200.0,-0.00327590164115,0.00342590164115,0.0,18.123126952546148
49,44100.0,-0.0030634283749999994,0.0034334283749999995,0.0,18.320956949605616
50,45000.0,-0.00305833851975,0.00342833851975,0.0,18.505657272680025
51,45900.0,-0.0032602321450875002,0.0034102321450874998,0.0,18.65015316269822
52,46800.0,-0.0032297104810874995,0.0033797104810874994,0.0,18.778184982282625
53,47700.0,-0.002965914908749999,0.003335914908749999,0.0,18.912399445071784
54,48600.0,-0.0029097484665874997,0.0032797484665875,0.0,19.025165021682643
55,49500.0,-0.0030605972554875,0.0032105972554875,0.0,19.090026420336
56,50400.0,-0.0029785745827875,0.0031285745827875,0.0,19.131139198420264
57,51300.0,-0.0026640826514875,0.0030340826514875002,0.0,19.171888579914423
58,52200.0,-0.0025568097988875,0.0029268097988875003,0.0,19.185147366551906
59,53100.0,-0.0026575116887999997,0.0028075116887999996,0.0,19.145159658922744
60,54000.0,-0.0025254337330874997,0.0026754337330874996,0.0,19.0767264052264
61,54900.0,-0.0021609424687499997,0.0025309424687499998,0.0,19.003768389295125
62,55800.0,-0.0020048073602,0.0023748073602,0.0,18.899916773132425
63,56700.0,-0.0020570267433499996,0.0022070267433499996,0.0,18.740034532105053
64,57600.0,-0.00187801624695,0.00202801624695,0.0,18.54967779483462
65,58500.0,-0.0014682188187499995,0.0018382188187499996,0.0,18.353491172102647
66,59400.0,-0.0012676941021875,0.0016376941021874999,0.0,18.125691601118028
67,60300.0,-0.0012777688218874998,0.0014277688218875,0.0,17.841907030178753
68,61200.0,-0.0010581733162,0.0012081733162,0.0,17.52823576508651
69,62100.0,0.0009055346174567451,0.0009803475,0.0,17.380569857696354
70,63000.0,0.0012151938602018228,0.00074452121095,0.0,17.204496590359078
71,63900.0,0.001325908646732961,0.0005018430580875001,0.0,16.995706807640936
