,time,P_net,P_ev_mall,P_hvac_mall,T_zone_avg
46,41400.0,0.09377552132052665,0.01,0.022775521320526654,21.014668881777055
47,42300.0,0.09533103254435153,0.01,0.02283103254435153,21.085753691701832
48,43200.0,0.09692421499105035,0.01,0.022924214991050344,21.15236462258493
49,44100.0,0.09855561478754024,0.01,0.023055614787540236,21.213969397725887
50,45000.0,0.100224773641878,0.01,0.023224773641878,21.27007653548492
51,45900.0,0.10193187627647185,0.01,0.02343187627647185,21.32021202739126
52,46800.0,0.10067337422407946,0.01,0.02367337422407945,21.36398778764026
53,47700.0,0.09944974859023631,0.01,0.023949748590236318,21.401016818718926
54,48600.0,0.09825979250351242,0.01,0.02425979250351243,21.43096564946472
55,49500.0,0.09710087385343673,0.01,0.024600873853436723,21.453547232559785
56,50400.0,0.09597376608151689,0.01,0.024973766081516902,21.468482386271415
57,51300.0,0.08812341553306413,0.01,0.02537341553306413,21.475585734774388
58,52200.0,0.08855089111172319,0.01,0.02580089111172319,21.47466348109397
59,53100.0,0.08900212994745155,0.01,0.026252129947451547,21.465602302404026
60,54000.0,0.0894757619633258,0.01,0.02672576196332579,21.4483037977604
61,54900.0,0.08996939917710271,0.01,0.02721939917710272,21.422715138807067
62,55800.0,0.09048032077335406,0.01,0.027730320773354057,21.388836975966726
63,56700.0,0.09100511302447017,0.01,0.02825511302447018,21.3467183666426
64,57600.0,0.09154141025132437,0.01,0.028791410251324367,21.296445548086773
65,58500.0,0.09208686026200934,0.01,0.02933686026200934,21.23813982127187
66,59400.0,0.09297083290601658,0.01,0.029889457906016586,21.171945055204358
67,60300.0,0.09422064529949778,0.01,0.030443520299497782,21.098095846442344
68,61200.0,0.0954936784563912,0.01,0.0310001784563912,21.016794467246232
69,62100.0,0.10352882718252422,0.01,0.031553827182524224,20.928330593348445
70,63000.0,0.10482289582170466,0.01,0.03210264582170467,20.833006885297426
71,63900.0,0.10595936991736275,0.01,0.03248424491736276,20.724072731013838
72,64800.0,0.10826910963870665,0.01,0.032533609638706655,20.58880665238425
73,65700.0,0.1105597457541875,0.01,0.03255974575418751,20.43013133784788
