,time,P_net,P_refrig,P_hvac_sup,T_store
60,54000.0,0.02238465827220152,0.0026582792665726385,0.005226379005628879,20.0
61,54900.0,0.0226625435929557,0.0026467962925649812,0.005515747300390719,20.0
62,55800.0,0.022956943035930166,0.002634858956276446,0.005822084079653721,20.0
63,56700.0,0.02326640187277086,0.0026225498690308287,0.00614385200374003,20.0
64,57600.0,0.023590392924299094,0.002609910336490025,0.00648048258780907,20.0
65,58500.0,0.023928320643983193,0.0025969816643159373,0.006831338979667253,20.0
66,59400.0,0.024279516066163465,0.0025838051581704626,0.007195710907993001,20.0
67,60300.0,0.024782108433310517,0.002570504735039292,0.007570460841128367,20.0
68,61200.0,0.025452876800619126,0.002557039089260528,0.007956980568501457,20.0
69,62100.0,0.02596933074885927,0.002543532137819867,0.008182941468182258,19.985494147088453
